language_iso	trans_ID	language_english	language_name	version	verses
avn	AVNWBT	Avatime	Sideme	WBT # WBT Version	7957
avt	AVTWBT	Au	Au	WBT # 1992 Edition	7955
avu	AVUWBT	Avokaya	Avokaya	WBT # 2002 Edition	7593
awa	AWAWTC	Awadhi	Awadhi	WTC # Easy-to-Read Version	7910
awb	AWBTBL	Awa for Papua New Guinea	Awa for Papua New Guinea	TBL # 2002 Edition	7958
ayr	AYMBSB	Aymara, Central	Aymara, Central	BSB # 2011 Edition	30700
ayr	AYMSBU	Aymara, Central	Aymara, Central	SBU # 1997 Edition	7958
ayp	AYPABT	Mardini	North Mesopotamian Arabic	ABT # ABT Version	7958
azb	AZBEMV	Azerbaijani, South	Azərbaycan, Cənubi	EMV # 2009 Edition	31103
azg	AZGTBL	San Pedro Amuzgo	San Pedro Amuzgo	TBL # 1992 Edition	7957
azz	AZZTBL	Nahuatl, Highland Puebla	Nahuatl, Highland Puebla	TBL # 1979 Edition	7947
bak	BAKIBT	Bashkir	Bashkir	IBT # IBT Volume	7940
ban	BANIBS	Balinese	Balinese	IBS # Today's Balinese Version, 1990	7944
bao	BAOWBT	Waimaja	Waimaja	WBT # 2010 Edition	8010
bav	BAVWBT	Babungo	Babungo	WBT # 1993 Edition	7957
bba	BBABSB	Bariba	Bariba	BSB # 1996 Edition	30920
bbo	BBOBSB	Konabere	Bobo Madaré, Northern	BSB # 1981 Edition	7956
bbr	BBRWBT	Girawa	Girawa	WBT # 1994 Edition	7923
bcl	BCLBPV	Bicolano, Central	Bicolano, Central	BPV # Bikol Popular Version	7938
bcw	BCWWBT	Bana	Bana	WBT # 2005 Edition	7898
bdd	BDDWBT	Bunama	Bunama	WBT # 1991 Edition	7939
bef	BEFWBT	Benabena	Benabena	WBT # 1982 Edition	7959
bex	BEXWBT	Jur Modo	Jur Modo	WBT # 1998 Edition	7957
bfd	BFDWBT	Bafut	Bafut	WBT # 1999 Edition	7956
bfo	BFOBSB	Birifor, Northern	Birifor, Northern	BSB # 1993 Edition	7941
bgr	BGRBBS	Bawm	Bawm	BBS # 2006 Edition	7867
bgt	BGTWYI	Bughotu	Bughotu	WYI # 2009 Edition	7861
bgz	BGZLAI	Banggai	Banggai	LAI # 2002 Edition	7945
bhl	BHLPNG	Bimin	Bimin	PNG # 2008 Edition	7931
bhw	BHWLAI	Biak	Biak	LAI # 1990 Edition	7956
bhz	BHZLAI	Bada	Bada	LAI # 2017 Edition	7915
bib	BIBWBT	Bissa	Bissa	WBT # 2000 Edition	7947
big	BIGWBT	Biangai	Biangai	WBT # 2013 Edition	7949
bim	BIMWBT	Bimoba	Bimoba	WBT # 2001 Edition	7911
biv	BIVWBT	Birifor, Southern	Birifor, Southern	WBT # 2006 Edition	7942
bjv	BJVWYI	Nangnda	Nangnda	WYI # 2011 Edition	7957
bjw	BJWWYI	Bakwé	Bakwé	WYI # 2018 Edition	7957
bkl	BKLLAI	Berik	Berik	LAI # 1993 Edition	7938
bku	BKUOMF	Buhid	Buhid	OMF # 1988 Edition	7930
