language_iso	trans_ID	language_name	verses	source
bzj	BZJBSW	Belize Kriol	7953	API
cak	CA1WBT	Cakchiquel, South Central	7957	API
caa	CAAWBT	Chorti	7956	API
cab	CABNVS	Garifuna	7947	API
cap	CAPSBB	Chipaya	7958	API
car	CARBSS	Carib	7929	API
cax	CAXSBB	Chiquitano	7956	API
cbc	CBCWBT	Carapana	7815	API
cbi	CBITBL	Chachi	7953	API
cbr	CBRTBL	Kakataibo	7955	API
cbs	CBSBSP	Junikuin	7479	API
cco	CCOTBL	Chinanteco de Comaltepec	7895	API
ccp	CCPBIV	Chakma	7958	API
cdf	CDFBIV	Chiru	7957	API
ceb	CEBCBV	Cebuano	31102	API
ceb	CEBRPV	Cebuano	7922	API
ceg	CEGNTP	Chamacoco	7958	API
cek	CEKLKC	Lemi	7896	API
cfm	CFMBIV	Chin Bualkhaw	7957	API
cgc	CGCTBL	Kagayanen	7948	API
chk	CH1CNV	中文	31078	API
cmn	CHNUN1	中文	31039	API
cmn	CHNUNV	中文	31024	API
chr	CHRPDV	Cherokee	7957	API
chv	CHVIBT	Chuvash	7950	API
chz	CHZWBT	Chinantec de Ozumacin	7958	API
cjo	CJOWBT	Ashéninka Pajonal	7931	API
cjp	CJPTJV	Cabecar	7952	API
cjv	CJVTBL	Chuave	7942	API
ckb	CK1WBT	Cakchiquel Santo Domingo Xenacoj	7952	API
cak	CKIWBT	Cakchiquel, Santa  Maria de Jesus	7958	API
cak	CKKWBT	Cakchiquel, Yepocapa	7950	API
cko	CKOGIL	Anufo	7970	API
cak	CKWNVS	Cakchiquel, Western	7956	API
cle	CLETBL	Chinanteco de San Juan Lealao	7959	API
cly	CLYAVA	Chatino Lachao Yolotepec	7958	API
cme	CMEWBT	Cerma	7958	API
cmo	CMOWBT	Bunong	7937	API
cmr	CMRWBT	Chin, Mro-Khimi	7955	API
cnh	CNHBSM	Chin, Haka	31087	API
cni	CNIWBT	Ashaninca	7775	API
cnk	CNKBSM	Chin, Matu	7986	API
cnl	CNLTBL	Chinanteco de San Juan Lalana	7949	API
cnt	CNTTBL	Chinanteco de Tepetotutla	7948	API
coe	COEWBT	Koreguaje	7737	API
cof	COFWBT	Colorado	7878	API
cok	COKWBT	Cora, Santa Teresa	7959	API
con	CONWBT	Cofan	7898	API
cot	COTTBL	Caquinte	7919	API
cou	COUWBT	Wamey	7936	API
cpa	CPATBL	Chinanteco de Palantla	7958	API
cpb	CPBWBT	Asheninka Ucayali-Yurua	7957	API
crh	CRHIBT	Crimean Tatar	31163	API
crn	CRNWBT	Cora, El Nayar	7955	API
crq	CRQCMV	ManjÃºi	7945	API
csk	CSKATB	Jola Kasa	7954	API
cso	CSOTBL	Chinanteco de Sochiapan	7957	API
ct1	CT1TEV	Chin, Tiddim	30987	API
ctd	CTDBIV	Zokam	7957	API
ctd	CTDZIV	Zokam	7956	API
ctg	CTGBSB	Chittagonian, Mussolmani	7789	API
ctp	CTPTBL	Chatino, Zona Alta Occidental	7957	API
cub	CUBWBT	Cubeo	7953	API
cuc	CUCTBL	Chinanteco de Usila	7956	API
cui	CUIWBT	Cuiba	7936	API
cuk	CUKNVS	Kuna San Blas	7958	API
cul	CULWBT	Culina	7952	API
cwe	CWEPBT	Kwere	7956	API
cwt	CWTATB	Kwatay	7912	API
cya	CYAAVV	Chatino Nopala	7958	API
ces	CZCK13	česky	31172	API
czt	CZTBIV	Chin Zotung	7957	API
daa	DAAWYI	Dangaléat	7955	API
dad	DADWBT	Marik	7942	API
dah	DAHPNG	Gwahatike	7927	API
dan	DAND33	Dansk	31169	API
dbq	DBQWYI	Daba	7831	API
ddn	DDNBIV	Dendi (Benin)	7960	API
ded	DEDWYI	Dedua	7832	API
des	DESWBT	Desano	7744	API
dga	DGABIV	Dagaare, Southern	7957	API
dgi	DGIABB	Dagara, Northern	7952	API
dgz	DGZWBT	Daga	7941	API
dig	DIGTBL	Digo	7954	API
dik	DIKTBL	Dinka, Rek	7953	API
djk	DJKWBT	Aukaans	7882	API
dln	DLNBIV	Darlong	31102	API
dnt	DNTLAI	Dani, Central Grand Valley	7927	API
dnw	DNWLAI	Lani	7903	API
dob	DOBWBT	Dobu	7936	API
acf	DOMBEC	Saint Lucian Creole	7957	API
dop	DOPBSB	Lokpa	7950	API
dos	DOSATA	Dogosé	7932	API
dsh	DSHBTL	Daasanach	7958	API
dtb	DTBWBT	Kadazan, Labuk Kinabatangan	7904	API
dtp	DTPBSM	Dusun, Central	30471	API
dts	DTSABM	Dogon, Toroso	7857	API
due	DUEWBT	Agta Umiray Dumaget	7957	API
dug	DUGBTL	Duruma	7938	API
duo	DUOWBT	Agta Dupaninan	7939	API
dwr	DWRBSE	Dawro	7951	API
dwr	DWRTBL	Dawro	7804	API
dww	DWWWBT	Dawawa	7943	API
dyi	DYIIBS	Senoufo, Djimini	7957	API
dyo	DYOBSG	Jola-Fogny	7959	API
dyu	DYUBSB	Jula	7956	API
dyu	DYUWYI	Jula	31170	API
dzo	DZOEHP	Dzongkha	7902	API
eip	EIPWBT	Lik	7878	API
eka	EKAWYI	Ekajuk	7958	API
emp	EMPWYI	Embera, Northern	7752	API
eng	EN1WEB	English	31102	API
enb	ENBBTL	Marakwet	7906	API
eng	ENGASV	English	31102	API
eng	ENGESV	English	31086	API
eng	ENGEVD	English	30963	API
eng	ENGKJV	English	31102	API
eng	ENGNAS	English	31103	API
eng	ENGNLV	English	7957	API
eng	ENGREV	English	31102	API
eng	ENGWEB	English	31102	API
eng	ENGWM1	English	31102	API
eng	ENGWMV	English	31104	API
enq	ENQPNG	Enga	7936	API
kan	ERVWTC	ಕನ್ನಡ	7888	API
ese	ESENTM	Ese Ejja	7957	API
ess	ESSWYI	St. Lawrence Island Yupik	7861	API
eus	EUSNLT	Euskara	7948	API
faa	FAAWBT	Fasu	7944	API
fai	FAIPNG	Faiwol	7956	API
fal	FALTBL	Fali, South	7957	API
far	FARWBT	Fataleka	7951	API
ffm	FFMTBL	Fulfulde, Maasina	7957	API
fij	FIJBSP	Fijian	7957	API
fin	FIN38V	Suomi	31018	API
fin	FINELC	Suomi	31134	API
izr	FIZTBL	Izere	7987	API
cfm	FLMBIV	Chin, Falam	7950	API
cfm	FLMUBS	Chin, Falam	30534	API
fmu	FMUWIN	Gaita Koitor	1148	API
for	FORBSV	Fore	7958	API
frd	FRDWBT	Fordata	7866	API
fra	FRNDBY	FranÃ§ais	31100	API
fra	FRNPDC	FranÃ§ais	7953	API
fra	FRNPDV	FranÃ§ais	7934	API
fra	FRNTLS	FranÃ§ais	31170	API
fuv	FU2TBL	Fulfulde, Nigerian (Caka)	7959	API
fuh	FU3WBT	Fulfulde, Western Niger	7908	API
fuf	FUFPBT	Pular	7957	API
fuh	FUHSIM	Fulfulde, Burkina Faso	7957	API
fuq	FUQWBT	Fulfulde, Central Eastern Niger	7958	API
fuv	FUVTBL	Fulfulde, Nigerian (Caka)	7959	API
gag	GAGIB1	Gagauz	7954	API
gag	GAGIBT	Gagauz	7954	API
gah	GAHPNG	Alekano	7941	API
gam	GAMWBT	Kandawo	7947	API
gaw	GAWWBT	Nobonob	7946	API
gbi	GBILAI	Galela	7948	API
gde	GDEWBT	Gude	7940	API
gdn	GDNPNG	Umanakaina	7933	API
gdr	GDRPNG	Wipi	7956	API
deu	GERD05	Deutsch	31101	API
deu	GERD71	Deutsch	31056	API
deu	GERL12	Deutsch	31102	API
deu	GERL45	Deutsch	31102	API
gfk	GFKTBL	Patpatar	7938	API
ghs	GHSPNG	Guhu-Samane	7905	API
gmv	GMVTBL	Gamo	7842	API
gna	GNAWBT	Kaansa	7835	API
gnd	GNDWYI	Zulgo	7887	API
gng	GNGWYI	Gangam	7957	API
gnw	GNWNTM	Guaraní, Western Bolivian	7945	API
gof	GO1TBL	Goffa	7931	API
gof	GOFTBL	Goffa	7958	API
gog	GOGBST	Chigogo	7957	API
gor	GORLAI	Gorontalo	7954	API
gqr	GQRWBT	Gor	7957	API
ell	GRKEPT	Greek	7959	API
ell	GRKSFT	Greek	31104	API
grt	GRTBBS	Garo	7813	API
gso	GSOCAR	Gbaya, Southwest	7958	API
gur	GU1WBT	Ninkare	7948	API
gub	GUBWBT	Guajajára	30187	API
guc	GUCTBL	Wayuu	7621	API
guh	GUHWBT	Guahibo	7884	API
gui	GUISBU	Guarani, Bolivian	7914	API
guj	GUJWTC	Gujarati	30928	API
guk	GUKBSE	Gumuz	7958	API
gum	GUMTBL	Guambiano	7957	API
gun	GUNWBT	Guarani, Mbya	7957	API
guo	GUOWBT	Guayabero	7800	API
guq	GUQLPY	Aché	7957	API
gur	GURIBS	Frafra	7958	API
guu	GUUMJR	Yanomamö	7958	API
gux	GUXABB	Gulmancema	7950	API
gvc	GVCTBL	Guanano	7765	API
gvf	GVFWBT	Golin	7952	API
gvl	GVLABT	Gulei	7958	API
gwi	GWIWBT	Gwichʼin	7940	API
gwr	GWRWBT	Lugwere	7951	API
gym	GYMWBT	Guaymi	7804	API
gyr	GYRSBB	Guarayo	7936	API
hae	HAEBSE	Oromo, Eastern	7958	API
hag	HAGGIL	Hanga	7694	API
hak	HAKTHV	Hakka	7909	API
hat	HATSBH	Kreyòl ayisyen	7949	API
heb	HBRHMT	עברית	31152	API
heh	HEHBST	Kihehe	7958	API
hif	HIFBSP	Fiji-Hindi	7863	API
hig	HIGTBL	Higgi	7911	API
hil	HILHPV	Hiligaynon	7942	API
hla	HLAPNG	Halia	7949	API
hmo	HMOPNG	Motu, Hiri	30911	API
hin	HNDSKV	हिंदी	7957	API
hin	HNDWTC	हिंदी	7935	API
hne	HNEBGC	Chhattisgarhi	7959	API
hnn	HNNOMF	Hanunoo	7946	API
hns	HNSWBT	Sarnami Hindi	7832	API
hot	HOTWBT	Hote	7924	API
hto	HTOWBT	Huitoto, Minica	7956	API
hus	HU1BIV	Tenek de San Luis Potosi	7958	API
hub	HUBWBT	Huambisa	7744	API
hui	HUIPNG	Huli	34855	API
hun	HUNK90	Magyar	31165	API
hun	HUNRNT	Magyar	31170	API
hus	HUSLLB	Huasteco, Veracruz	7943	API
huu	HUUTBL	Huitoto Murui	7931	API
huv	HUVTBL	Huave de San Mateo del Mar	7958	API
hvn	HVNLAI	Sabu	7946	API
ian	IANPNG	Iatmul	7907	API
iba	IBATIV	Iban	7940	API
icr	ICRWYI	San Andres Islander Creole	7956	API
ifa	IFAWBT	Central Ifugao	31090	API
ifb	IFBTBL	Ayangan Ifugao	31097	API
ife	IFEWBT	Ifè	7953	API
ifk	IFKTBL	Tuwali Ifugao	7759	API
ifu	IFUWPS	Mayoyao Ifugao	7941	API
ify	IFYWBT	Antipolo Ifugao	30632	API
ign	IGNSBB	Ignaciano	7957	API
ikk	IKKTBL	Ika	31104	API
ilo	ILORPV	Ilocano	7867	API
imo	IMOTBL	Imbongu	7938	API
inb	INBWBT	Inga	7940	API
ind	INDSHV	Indonesian	30327	API
ino	INOTBL	Inoke-Yate	7933	API
ind	INZNTV	Indonesian	31172	API
ind	INZTSI	Indonesian	7726	API
ipi	IPIPNG	Ipili	7370	API
iri	IRIWYI	Irigwe	7959	API
irk	IRKBST	Kiiraqw	7957	API
iry	IRYOMF	Iraya	7912	API
isl	ISLICE	Icelandic	7951	API
ita	ITAR27	Italiano	31102	API
itl	ITLIBT	Itelmen	1151	API
itv	ITVSTP	Itawit	7949	API
iws	IWSWBT	Sepik Iwam	7958	API
ixl	IX1WBT	Ixil	7910	API
ixi	IXIWBT	Ixil	7958	API
ixl	IXLWBT	Ixil	7957	API
izz	IZZTBL	Izii	31095	API
jac	JACWBT	Jacalteco, Eastern	7956	API
jam	JAMBSW	Jamaican Creole	7966	API
jav	JAVNRF	Javanese, Indonesian	7959	API
jbu	JBUIBS	Jukun	7942	API
jic	JICWBT	Tol	7922	API
jiv	JIVAIE	Shuar	7947	API
jmc	JMCBST	Kimashami	7958	API
jpn	JPNCJV	日本語	31104	API
jun	JUNWIN	Juang	7956	API
jvn	JVNTBL	Javanese, Suriname	7931	API
kaa	KAAIBT	Karakalpak	7941	API
kac	KACUBS	Kachin	30944	API
kao	KAOABM	Khassonke 	7946	API
kaq	KAQTBL	Capanahua	7958	API
kaz	KAZKAZ	Kazakh	31062	API
kbh	KBHWBT	Camsa	7900	API
kbm	KBMTBL	Iwal	7871	API
kbp	KBPABT	Kabiye	7954	API
kbp	KBPBIV	Kabiye	7955	API
